code,name,category
EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)",Agriculture & Rural Development
AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),Agriculture & Rural Development
AG.LND.AGRI.ZS,Agricultural land (% of land area),Agriculture & Rural Development
AG.LND.AGRI.K2,Agricultural land (sq. km),Agriculture & Rural Development
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",Agriculture & Rural Development
AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land",Agriculture & Rural Development
EN.ATM.METH.AG.ZS,Agricultural methane emissions (% of total),Agriculture & Rural Development
EN.ATM.METH.AG.KT.CE,Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agriculture & Rural Development
EN.ATM.NOXE.AG.ZS,Agricultural nitrous oxide emissions (% of total),Agriculture & Rural Development
EN.ATM.NOXE.AG.KT.CE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Agriculture & Rural Development
TX.VAL.AGRI.ZS.UN,Agricultural raw materials exports (% of merchandise exports),Agriculture & Rural Development
TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports),Agriculture & Rural Development
NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",Agriculture & Rural Development
NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",Agriculture & Rural Development
ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Agriculture & Rural Development
AG.LND.ARBL.ZS,Arable land (% of land area),Agriculture & Rural Development
AG.LND.ARBL.HA.PC,Arable land (hectares per person),Agriculture & Rural Development
AG.LND.ARBL.HA,Arable land (hectares),Agriculture & Rural Development
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),Agriculture & Rural Development
AG.PRD.CREL.MT,Cereal production (metric tons),Agriculture & Rural Development
AG.YLD.CREL.KG,Cereal yield (kg per hectare),Agriculture & Rural Development
AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),Agriculture & Rural Development
SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),Agriculture & Rural Development
SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",Agriculture & Rural Development
SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Agriculture & Rural Development
AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production),Agriculture & Rural Development
AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),Agriculture & Rural Development
